accuracy,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,search_type
0.6670499999999999,1.0,25.0,sqrt,1.0,2.0,50.0,grid
0.6853499999999999,1.0,25.0,sqrt,1.0,2.0,150.0,grid
0.69005,1.0,25.0,sqrt,1.0,2.0,300.0,grid
0.6931,1.0,25.0,sqrt,1.0,2.0,500.0,grid
0.6651999999999999,1.0,25.0,sqrt,1.0,20.0,50.0,grid
0.67775,1.0,25.0,sqrt,1.0,20.0,150.0,grid
0.6823,1.0,25.0,sqrt,1.0,20.0,300.0,grid
0.68415,1.0,25.0,sqrt,1.0,20.0,500.0,grid
0.6344000000000001,1.0,25.0,sqrt,50.0,2.0,50.0,grid
0.6384000000000001,1.0,25.0,sqrt,50.0,2.0,150.0,grid
0.6392,1.0,25.0,sqrt,50.0,2.0,300.0,grid
0.6389999999999999,1.0,25.0,sqrt,50.0,2.0,500.0,grid
0.6344000000000001,1.0,25.0,sqrt,50.0,20.0,50.0,grid
0.6384000000000001,1.0,25.0,sqrt,50.0,20.0,150.0,grid
0.6392,1.0,25.0,sqrt,50.0,20.0,300.0,grid
0.6389999999999999,1.0,25.0,sqrt,50.0,20.0,500.0,grid
0.6609499999999999,1.0,25.0,log2,1.0,2.0,50.0,grid
0.6766,1.0,25.0,log2,1.0,2.0,150.0,grid
0.6824000000000001,1.0,25.0,log2,1.0,2.0,300.0,grid
0.68295,1.0,25.0,log2,1.0,2.0,500.0,grid
0.6595,1.0,25.0,log2,1.0,20.0,50.0,grid
0.6716000000000001,1.0,25.0,log2,1.0,20.0,150.0,grid
0.6729,1.0,25.0,log2,1.0,20.0,300.0,grid
0.6718499999999998,1.0,25.0,log2,1.0,20.0,500.0,grid
0.6238500000000001,1.0,25.0,log2,50.0,2.0,50.0,grid
0.6253,1.0,25.0,log2,50.0,2.0,150.0,grid
0.62495,1.0,25.0,log2,50.0,2.0,300.0,grid
0.6263500000000001,1.0,25.0,log2,50.0,2.0,500.0,grid
0.6238500000000001,1.0,25.0,log2,50.0,20.0,50.0,grid
0.6253,1.0,25.0,log2,50.0,20.0,150.0,grid
0.62495,1.0,25.0,log2,50.0,20.0,300.0,grid
0.6263500000000001,1.0,25.0,log2,50.0,20.0,500.0,grid
0.6715500000000001,1.0,100.0,sqrt,1.0,2.0,50.0,grid
0.68745,1.0,100.0,sqrt,1.0,2.0,150.0,grid
0.69045,1.0,100.0,sqrt,1.0,2.0,300.0,grid
0.6938000000000001,1.0,100.0,sqrt,1.0,2.0,500.0,grid
0.66935,1.0,100.0,sqrt,1.0,20.0,50.0,grid
0.6809000000000001,1.0,100.0,sqrt,1.0,20.0,150.0,grid
0.68375,1.0,100.0,sqrt,1.0,20.0,300.0,grid
0.6861499999999999,1.0,100.0,sqrt,1.0,20.0,500.0,grid
0.6344000000000001,1.0,100.0,sqrt,50.0,2.0,50.0,grid
0.6384000000000001,1.0,100.0,sqrt,50.0,2.0,150.0,grid
0.6392,1.0,100.0,sqrt,50.0,2.0,300.0,grid
0.6389999999999999,1.0,100.0,sqrt,50.0,2.0,500.0,grid
0.6344000000000001,1.0,100.0,sqrt,50.0,20.0,50.0,grid
0.6384000000000001,1.0,100.0,sqrt,50.0,20.0,150.0,grid
0.6392,1.0,100.0,sqrt,50.0,20.0,300.0,grid
0.6389999999999999,1.0,100.0,sqrt,50.0,20.0,500.0,grid
0.664,1.0,100.0,log2,1.0,2.0,50.0,grid
0.6812,1.0,100.0,log2,1.0,2.0,150.0,grid
0.68545,1.0,100.0,log2,1.0,2.0,300.0,grid
0.6865,1.0,100.0,log2,1.0,2.0,500.0,grid
0.65805,1.0,100.0,log2,1.0,20.0,50.0,grid
0.6675,1.0,100.0,log2,1.0,20.0,150.0,grid
0.6708999999999999,1.0,100.0,log2,1.0,20.0,300.0,grid
0.6712499999999999,1.0,100.0,log2,1.0,20.0,500.0,grid
0.6238500000000001,1.0,100.0,log2,50.0,2.0,50.0,grid
0.6253,1.0,100.0,log2,50.0,2.0,150.0,grid
0.62495,1.0,100.0,log2,50.0,2.0,300.0,grid
0.6263500000000001,1.0,100.0,log2,50.0,2.0,500.0,grid
0.6238500000000001,1.0,100.0,log2,50.0,20.0,50.0,grid
0.6253,1.0,100.0,log2,50.0,20.0,150.0,grid
0.62495,1.0,100.0,log2,50.0,20.0,300.0,grid
0.6263500000000001,1.0,100.0,log2,50.0,20.0,500.0,grid
0.6715500000000001,1.0,2000.0,sqrt,1.0,2.0,50.0,grid
0.68745,1.0,2000.0,sqrt,1.0,2.0,150.0,grid
0.69045,1.0,2000.0,sqrt,1.0,2.0,300.0,grid
0.6938000000000001,1.0,2000.0,sqrt,1.0,2.0,500.0,grid
0.66935,1.0,2000.0,sqrt,1.0,20.0,50.0,grid
0.6809000000000001,1.0,2000.0,sqrt,1.0,20.0,150.0,grid
0.68375,1.0,2000.0,sqrt,1.0,20.0,300.0,grid
0.6861499999999999,1.0,2000.0,sqrt,1.0,20.0,500.0,grid
0.6344000000000001,1.0,2000.0,sqrt,50.0,2.0,50.0,grid
0.6384000000000001,1.0,2000.0,sqrt,50.0,2.0,150.0,grid
0.6392,1.0,2000.0,sqrt,50.0,2.0,300.0,grid
0.6389999999999999,1.0,2000.0,sqrt,50.0,2.0,500.0,grid
0.6344000000000001,1.0,2000.0,sqrt,50.0,20.0,50.0,grid
0.6384000000000001,1.0,2000.0,sqrt,50.0,20.0,150.0,grid
0.6392,1.0,2000.0,sqrt,50.0,20.0,300.0,grid
0.6389999999999999,1.0,2000.0,sqrt,50.0,20.0,500.0,grid
0.664,1.0,2000.0,log2,1.0,2.0,50.0,grid
0.6812,1.0,2000.0,log2,1.0,2.0,150.0,grid
0.68545,1.0,2000.0,log2,1.0,2.0,300.0,grid
0.6865,1.0,2000.0,log2,1.0,2.0,500.0,grid
0.65805,1.0,2000.0,log2,1.0,20.0,50.0,grid
